[dotenv@17.2.4] injecting env (3) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
Server running at http://localhost:3002
2026-02-06T10:33:37.756Z - GET /api/scores
(node:23844) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
2026-02-06T10:39:43.529Z - GET /favicon.ico
2026-02-06T10:39:43.637Z - GET /favicon.ico
2026-02-06T10:39:43.749Z - GET /favicon.ico
2026-02-06T10:39:43.848Z - GET /favicon.ico
2026-02-06T10:39:43.932Z - GET /api/scores
2026-02-06T10:39:43.963Z - GET /favicon.ico
2026-02-06T10:39:44.069Z - GET /favicon.ico
2026-02-06T10:39:44.169Z - GET /favicon.ico
2026-02-06T10:39:44.266Z - GET /favicon.ico
2026-02-06T10:39:44.368Z - GET /favicon.ico
2026-02-06T10:39:44.468Z - GET /favicon.ico
2026-02-06T10:39:44.569Z - GET /favicon.ico
2026-02-06T10:39:44.667Z - GET /favicon.ico
2026-02-06T10:39:44.766Z - GET /favicon.ico
2026-02-06T10:39:44.867Z - GET /favicon.ico
2026-02-06T10:39:44.962Z - GET /favicon.ico
2026-02-06T10:39:45.076Z - GET /favicon.ico
2026-02-06T10:39:45.198Z - GET /favicon.ico
2026-02-06T10:39:45.327Z - GET /favicon.ico
2026-02-06T10:39:45.437Z - GET /favicon.ico
2026-02-06T10:39:45.548Z - GET /favicon.ico
2026-02-06T10:39:45.662Z - GET /favicon.ico
2026-02-06T10:39:45.764Z - GET /favicon.ico
2026-02-06T10:39:45.867Z - GET /favicon.ico
2026-02-06T10:39:45.983Z - GET /favicon.ico
2026-02-06T10:40:14.179Z - GET /api/scores
2026-02-06T10:41:03.697Z - GET /api/scores
2026-02-06T10:41:25.007Z - GET /favicon.ico
2026-02-06T10:41:25.156Z - GET /favicon.ico
2026-02-06T10:41:25.294Z - GET /favicon.ico
2026-02-06T10:41:25.409Z - GET /favicon.ico
2026-02-06T10:41:25.528Z - GET /favicon.ico
2026-02-06T10:41:25.649Z - GET /favicon.ico
2026-02-06T10:41:25.783Z - GET /favicon.ico
2026-02-06T10:41:25.896Z - GET /favicon.ico
2026-02-06T10:41:26.024Z - GET /favicon.ico
2026-02-06T10:41:26.143Z - GET /favicon.ico
2026-02-06T10:41:26.288Z - GET /favicon.ico
2026-02-06T10:41:26.412Z - GET /favicon.ico
2026-02-06T10:41:26.529Z - GET /favicon.ico
2026-02-06T10:41:26.670Z - GET /favicon.ico
2026-02-06T10:41:26.769Z - GET /favicon.ico
2026-02-06T10:41:26.890Z - GET /favicon.ico
2026-02-06T10:41:27.011Z - GET /favicon.ico
2026-02-06T10:41:27.130Z - GET /favicon.ico
2026-02-06T10:41:27.250Z - GET /favicon.ico
2026-02-06T10:41:27.369Z - GET /favicon.ico
2026-02-06T10:41:27.489Z - GET /favicon.ico
2026-02-06T10:41:27.617Z - GET /favicon.ico
2026-02-06T10:41:27.728Z - GET /favicon.ico
2026-02-06T10:41:27.849Z - GET /favicon.ico
2026-02-06T10:41:27.969Z - GET /favicon.ico
2026-02-06T10:41:28.100Z - GET /favicon.ico
2026-02-06T10:41:28.209Z - GET /favicon.ico
2026-02-06T10:41:28.343Z - GET /favicon.ico
2026-02-06T10:41:28.448Z - GET /favicon.ico
2026-02-06T10:41:28.578Z - GET /favicon.ico
2026-02-06T10:41:28.689Z - GET /favicon.ico
2026-02-06T10:41:28.809Z - GET /favicon.ico
2026-02-06T10:41:29.048Z - GET /favicon.ico
2026-02-06T10:41:29.168Z - GET /favicon.ico
2026-02-06T10:41:29.288Z - GET /favicon.ico
2026-02-06T10:41:29.409Z - GET /favicon.ico
2026-02-06T10:41:29.568Z - GET /favicon.ico
2026-02-06T10:41:29.688Z - GET /favicon.ico
2026-02-06T10:41:29.808Z - GET /favicon.ico
2026-02-06T10:41:29.928Z - GET /favicon.ico
2026-02-06T10:41:30.047Z - GET /favicon.ico
2026-02-06T10:41:33.901Z - GET /api/scores
2026-02-06T10:42:03.684Z - GET /api/scores
2026-02-06T10:42:33.852Z - GET /api/scores
2026-02-06T10:44:28.804Z - GET /api/scores
2026-02-06T10:44:58.704Z - GET /api/scores
